codigo_ordem_producao,materia_prima,quantidade,unidade_medida,lote
4755,MP 410,0.03412,KG,20201205RA-50
4755,MP 417,0.25815,KG,22010494
4755,MP 440,0.50043,KG,3624815
4755,MPHM14,6.68621,KG,RU009/22
4756,MP 412,7.96035,KG,340-21-B
4756,MP 420,0.21322,KG,166898
4757,MPHM14,0.10917,KG,RU009/22
4757,MP 467,0.096,KG,3570839
4757,MP 470,0.36,KG,21070114
4758,MP 364,1.26618,KG,20220516
4758,MP 373,3.76536,KG,MS002055
4758,MP 378,8.03273,LT,470
4758,MP 406,1.16127,KG,22110043
4758,MP 410,0.14843,KG,20201205RA-50
4758,MPHM14,4.36582,KG,RU009/22
4759,MP 365,0.05,KG,090701
4759,MP 376,2.75,KG,20220824024
4759,MP 385,0.2,KG,2211123861/001
4759,MP 410,0.05,KG,20201205RA-50
4759,MP 428,0.05,KG,2211102266
4759,MPHM14,0.15,KG,RU009/22
4759,MP 455,2.5,KG,221031
4759,MP 456,3.225,KG,221018
4759,MP 457,11.025,KG,AHB004
4759,MP 500,3.0,KG,L22C173206
4759,MP 541,2.0,KG,222283411
4760,MP 365,0.05,KG,090701
4760,MP 376,2.75,KG,20220824024
4760,MP 385,0.2,KG,2211123861/001
4760,MP 410,0.05,KG,20201205RA-50
4760,MP 428,0.05,KG,2211102266
4760,MPHM14,0.15,KG,RU009/22
4760,MP 455,2.5,KG,221031
4760,MP 456,3.225,KG,221018
4760,MP 457,11.025,KG,AHB004
4760,MP 500,3.0,KG,L22C173206
4760,MP 541,2.0,KG,222283411
4761,MP 365,0.05,KG,090701
4761,MP 376,2.75,KG,20220824024
4761,MP 385,0.2,KG,2211123861/001
4761,MP 410,0.05,KG,20201205RA-50
4761,MP 428,0.05,KG,2211102266
4761,MPHM14,0.15,KG,RU009/22
4761,MP 455,2.5,KG,221031
4761,MP 456,3.225,KG,221018
4761,MP 457,11.025,KG,AHB004
4761,MP 500,3.0,KG,L22C173206
4761,MP 541,2.0,KG,222283411
4762,MP 365,0.05,KG,090701
4762,MP 376,2.75,KG,20220824024
4762,MP 385,0.2,KG,2211123861/001
4762,MP 410,0.05,KG,20201205RA-50
4762,MP 428,0.05,KG,2211102266
4762,MPHM14,0.15,KG,RU009/22
4762,MP 455,2.5,KG,221031
4762,MP 456,3.225,KG,221018
4762,MP 457,11.025,KG,AHB004
4762,MP 500,3.0,KG,L22C173206
4762,MP 541,2.0,KG,222283411
4763,MP 365,0.05,KG,090701
4763,MP 376,2.75,KG,20220824024
4763,MP 385,0.2,KG,2211123861/001
4763,MP 410,0.05,KG,20201205RA-50
4763,MP 428,0.05,KG,2211102266
4763,MPHM14,0.15,KG,RU009/22
4763,MP 455,2.5,KG,221031
4763,MP 456,3.225,KG,221018
4763,MP 457,11.025,KG,AHB004
4763,MP 500,3.0,KG,L22C173206
4763,MP 541,2.0,KG,222283411
4764,MP 365,0.05,KG,090701
4764,MP 376,2.75,KG,20220824024
4764,MP 385,0.2,KG,2211123861/001
4764,MP 410,0.05,KG,20201205RA-50
4764,MP 428,0.05,KG,2211102266
4764,MPHM14,0.15,KG,RU009/22
4764,MP 455,2.5,KG,221031
4764,MP 456,3.225,KG,221018
4764,MP 457,11.025,KG,AHB004
4764,MP 500,3.0,KG,L22C173206
4764,MP 541,2.0,KG,222283411
4765,MP 365,0.05,KG,090701
4765,MP 376,2.75,KG,20220824024
4765,MP 385,0.2,KG,2211123861/001
4765,MP 410,0.05,KG,20201205RA-50
4765,MP 428,0.05,KG,2211102266
4765,MPHM14,0.15,KG,RU009/22
4765,MP 455,2.5,KG,221031
4765,MP 456,3.225,KG,221018
4765,MP 457,11.025,KG,AHB004
4765,MP 500,3.0,KG,L22C173206
4765,MP 541,2.0,KG,222283411
